,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Duration in minutes,IMDB User Rating,Metascore from Metacritic
86,Ready Player One,2018,"['Action, Adventure, Sci-Fi']",Steven Spielberg ,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe","['When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.']",140,7.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""8a54c1e3-4fb2-46e8-a1ae-f62f46a24194"")>"
87,Mr. & Mrs. Smith,2005,"['Action, Comedy, Crime']",Doug Liman ,"Brad Pitt, Angelina Jolie, Adam Brody, Vince Vaughn",['A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.'],120,6.5,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""f5e6deb8-90cd-4b8a-a435-a2f3598314a5"")>"
88,Jurassic World,2015,"['Action, Adventure, Sci-Fi']",Colin Trevorrow ,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins, Judy Greer","['A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.']",124,7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""88c314a4-eba6-460c-85b1-1c9a154e9782"")>"
89,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"['Action, Adventure, Fantasy']",Gore Verbinski ,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","['Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor\'s daughter, from Jack\'s former pirate allies, who are now undead.']",143,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""daaa59fc-738d-45c9-aed2-6f73596febe9"")>"
90,Predator,1987,"['Action, Adventure, Sci-Fi']",John McTiernan ,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo",['A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.'],107,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""178b56ab-63f5-4e92-8e55-6342ddc24d92"")>"
91,X-Men,2000,"['Action, Adventure, Sci-Fi']",Bryan Singer ,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen","['In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.']",104,7.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""56dfba37-7a66-4f8c-91ca-1d5a1409a393"")>"
92,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"['Action, Adventure, Fantasy']",Gore Verbinski ,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","['Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor\'s daughter, from Jack\'s former pirate allies, who are now undead.']",143,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""ab5bcef3-640d-46fb-af7c-0c492e59eb55"")>"
93,The World's End,2013,"['Comedy, Sci-Fi']",Edgar Wright ,"Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike","[""Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.""]",109,7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""b4384e39-5441-454e-a893-c8eff28f2298"")>"
94,First Blood,1982,"['Action, Adventure']",Ted Kotcheff ,"Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney",['A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.'],93,7.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""5b881f41-898a-4ce8-ae2c-88f30e77e207"")>"
95,Speed,1994,"['Action, Adventure, Thriller']",Jan de Bont ,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",['A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.'],116,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""0092a10f-823f-4c55-b0f8-2daee63e371e"")>"
96,The Rock,1996,"['Action, Adventure, Thriller']",Michael Bay ,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer","['A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.']",136,7.4,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""66e4b892-c398-4a3c-821d-22fb86c76df4"")>"
97,The Hunger Games,2012,"['Action, Adventure, Sci-Fi']",Gary Ross ,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci","[""Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.""]",142,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""1c7796a6-e5ad-42e5-99c6-852aa50046b9"")>"
98,"I, Robot",2004,"['Action, Drama, Sci-Fi']",Alex Proyas ,"Will Smith, Bridget Moynahan, Bruce Greenwood, Alan Tudyk","['In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.']",115,7.1,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""b1cf77b5-b1e2-45c4-9005-0b9013ad7c82"")>"
99,Prince of Persia: The Sands of Time,2010,"['Action, Adventure, Fantasy']",Mike Newell ,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",['A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.'],116,6.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""49d5a0e7-ef94-4f7e-811d-11fc317cc2a4"")>"
